source_service,target_service,interaction_count,out_degree_total,prob_transition
SageMaker,UserCompanyAPI,5,251,0.0199
EC2,NAT,5,1266,0.0039
DynamoDB,CloudFront,5,496,0.0101
Lambda,ALB,5,2075,0.0024
UserCompanyDrone,S3,5,10,0.5
S3,DynamoDB,5,1551,0.0032
Lambda,KinesisDataStream,5,2075,0.0024
Fargate,UserConsumerFarmer,5,184,0.0272
UserConsumerEdge,ALB,5,94,0.0532
IoTCore,EC2,5,81,0.0617
ShieldAdvanced,WAF,5,5,1.0
MSK,UserCompanyCRM,5,68,0.0735
Connect,DevTools,5,85,0.0588
DevTools,Lambda,5,20,0.25
TransitGateway,QuickSight,5,20,0.25
UserCompanyDataStream,MediaStore,5,189,0.0265
EC2,AppDiscovery,5,1266,0.0039
DynamoDB,Transcribe,5,496,0.0101
UserConsumerTV,Kinesis,5,17,0.2941
ServiceCatalog,ACM,5,42,0.119
Lambda,UserCompanyDeveloper,5,2075,0.0024
Grafana,Timestream,5,5,1.0
Neptune,KinesisDataStream,5,44,0.1136
SQS,UserConsumerIOT,5,380,0.0132
IAM,CloudFormation,5,39,0.1282
UserCompanyDataStream,ECS,5,189,0.0265
DMS,RedShift,5,67,0.0746
UserConsumerDeveloper,S3,5,16,0.3125
ServiceCatalog,UserConsumerAPI,5,42,0.119
AppSync,OpenSearch,5,73,0.0685
UserCompanyAPI,OpenSearch,5,39,0.1282
ApiGateway,Fargate,5,537,0.0093
UserConsumerWeb,UserCompanyInternalPlatform,5,388,0.0129
UserConsumerHospital,UserCompanyInternalPlatform,5,6,0.8333
CloudTrail,OpenSearch,5,45,0.1111
Glue,Firehose,5,229,0.0218
Comprehend,Transcribe,5,53,0.0943
UserConsumerWebMobile,IoTCore,5,57,0.0877
Cognito,UserConsumerWebMobile,5,54,0.0926
Comprehend,Connect,5,53,0.0943
CloudFormation,StepFunctions,5,130,0.0385
RedShift,EMR,5,148,0.0338
Aurora,ThirdParty,5,145,0.0345
EC2,UserCompanyCRM,5,1266,0.0039
EC2,AmazonMQ,5,1266,0.0039
StepFunctions,ControlTower,5,294,0.017
EBS,ECS,5,25,0.2
DynamoDB,UserConsumerMobile,5,496,0.0101
ECS,ELB,5,363,0.0138
Amplify,AppSync,5,13,0.3846
Lambda,UserConsumerAPI,5,2075,0.0024
MediaConnect,Lex,5,25,0.2
Transcribe,Lambda,5,61,0.082
DynamoDB,StepFunctions,5,496,0.0101
Kinesis,ApiGateway,5,248,0.0202
Rekognition,Kinesis,5,39,0.1282
Glue,Aurora,5,229,0.0218
OpenSearch,SNS,5,74,0.0676
SystemsManager,KMS,5,25,0.2
NAT,ThirdParty,5,5,1.0
UserCompanyDataStream,StorageGateway,5,189,0.0265
Lambda,Chime,5,2075,0.0024
DynamoDB,Chime,5,496,0.0101
VPN,VPC,5,26,0.1923
Route53,WAF,5,103,0.0485
EventBridge,S3,5,82,0.061
DynamoDB,BeanStalk,5,496,0.0101
BeanStalk,Kinesis,5,31,0.1613
DirectConnect,UserCompanyHeadEnd,5,33,0.1515
ApiGateway,Athena,5,537,0.0093
Rekognition,LookoutForVision,5,39,0.1282
AccessAnalyzer,SecurityHub,5,5,1.0
Fargate,SecurityHub,5,184,0.0272
SecurityHub,ServiceNow,5,26,0.1923
BeanStalk,Aurora,5,31,0.1613
Neptune,Lambda,5,44,0.1136
ControlTower,VPN,5,30,0.1667
UserCompanyAgent,DynamoDB,5,79,0.0633
AppSync,Aurora,5,73,0.0685
Lambda,Cognito,5,2075,0.0024
Rekognition,OpenSearch,5,39,0.1282
EC2,SAP,5,1266,0.0039
UserConsumerAPI,ElastiCache,5,141,0.0355
ThirdParty,CloudFront,5,862,0.0058
ELB,UserConsumerWebMobile,5,226,0.0221
EMR,Lambda,5,208,0.024
ALB,UserCompanyDeveloper,5,204,0.0245
UserCompanyDataStream,EMR,5,189,0.0265
Neptune,DynamoDB,5,44,0.1136
UserConsumerSatellite,EC2,5,6,0.8333
ThirdParty,Cognito,5,862,0.0058
UserConsumerMobile,Fargate,5,307,0.0163
EMR,EventBridge,5,208,0.024
StepFunctions,LakeFormation,5,294,0.017
Cognito,ELB,5,54,0.0926
VPC,EKS,5,40,0.125
SecurityHub,Lambda,5,26,0.1923
AutoScaling,CloudWatch,5,5,1.0
Translate,S3,5,20,0.25
OpenSearch,UserConsumerWeb,5,74,0.0676
OnPremDC,Glue,5,26,0.1923
SageMaker,ThirdParty,5,251,0.0199
EC2,CloudTrail,5,1266,0.0039
SageMaker,UserCompanyAnalyst,5,251,0.0199
RedShift,Aurora,5,148,0.0338
CloudWatch,ELB,5,202,0.0248
UserConsumerWeb,NLB,5,388,0.0129
UserCompanyAgent,Amplify,5,79,0.0633
Lambda,Lex,5,2075,0.0024
MediaConvert,Lambda,5,26,0.1923
Polly,Translate,5,10,0.5
Athena,UserCompanyAgent,5,207,0.0242
DMS,UserCompanyDataStream,5,67,0.0746
SageMaker,Athena,5,251,0.0199
UserConsumerWeb,AppStream,5,388,0.0129
AppStream,UserConsumerWeb,5,20,0.25
IoTCore,Firehose,5,81,0.0617
UserCompanyAnalyst,Aurora,5,116,0.0431
SecretsManager,Lambda,5,5,1.0
ELB,UserConsumerMobile,5,226,0.0221
S3,EventBridge,5,1551,0.0032
Athena,Aurora,5,207,0.0242
AppSync,StepFunctions,5,73,0.0685
EKS,OpenSearch,5,495,0.0101
DMS,DynamoDB,5,67,0.0746
ThirdParty,EBS,5,862,0.0058
ThirdParty,TransferFamily,5,862,0.0058
ThirdParty,PrivateLink,5,862,0.0058
UserConsumerMobile,ShieldAdvanced,5,307,0.0163
MediaPackage,Transcribe,5,17,0.2941
Pinpoint,UserConsumerWeb,5,16,0.3125
TransitGateway,EKS,5,20,0.25
PrivateLink,SNS,5,31,0.1613
Comprehend,OpenSearch,5,53,0.0943
EC2,S2SVPN,5,1266,0.0039
RedShift,Firehose,5,148,0.0338
UserConsumerMobile,EC2,5,307,0.0163
RDS,DataPipeline,5,263,0.019
UserCompanyAPI,EC2,5,39,0.1282
Lambda,Timestream,5,2075,0.0024
ThirdParty,VPCPeering,5,862,0.0058
Connect,UserCompanyCRM,5,85,0.0588
UserCompanyCRM,UserCompanyAgent,5,15,0.3333
UserCompanyCRM,RDS,5,15,0.3333
ECS,UserConsumerPOS,5,363,0.0138
UserConsumerDeveloper,EKS,5,16,0.3125
Aurora,DMS,5,145,0.0345
LakeFormation,UserCompanyAnalyst,5,25,0.2
AppSync,DynamoDB,5,73,0.0685
EMR,Kinesis,5,208,0.024
DynamoDB,OpenSearch,5,496,0.0101
ELB,ShieldAdvanced,5,226,0.0221
ControlTower,ECR,5,30,0.1667
CloudFormation,ApiGateway,5,130,0.0385
UserCompanyAgent,SQS,5,79,0.0633
VPC,PrivateLink,5,40,0.125
PrivateLink,NLB,5,31,0.1613
CloudFormation,RedShift,5,130,0.0385
UserConsumerAPI,SNS,5,141,0.0355
SageMaker,ECR,5,251,0.0199
SageMaker,RoboMaker,5,251,0.0199
RoboMaker,SageMaker,5,15,0.3333
S3,UserCompanyDataStream,5,1551,0.0032
CloudFront,ALB,5,291,0.0172
UserCompanyDeveloper,RDS,5,182,0.0275
StepFunctions,SES,5,294,0.017
RDS,QuickSight,5,263,0.019
UserCompanyAgent,SageMaker,5,79,0.0633
Translate,MediaConnect,5,20,0.25
CloudFormation,FSX,5,130,0.0385
AppStream,RDS,5,20,0.25
SageMaker,MSK,5,251,0.0199
DirectConnect,S3,5,33,0.1515
CloudFront,UserConsumerWebMobile,5,291,0.0172
CloudFront,DynamoDB,5,291,0.0172
UserConsumerTV,CloudFront,5,17,0.2941
OpenSearch,UserCompanyAnalyst,5,74,0.0676
VPC,EMR,5,40,0.125
EventBridge,Firehose,5,82,0.061
PrivateLink,ThirdParty,5,31,0.1613
EC2,KinesisDataStream,5,1266,0.0039
OnPremDC,MSK,5,26,0.1923
PrivateLink,S3,5,31,0.1613
ApiGateway,ALB,5,537,0.0093
CodePipeline,CodeCommit,5,41,0.122
DynamoDB,DevTools,5,496,0.0101
Aurora,TransitGateway,5,145,0.0345
ControlTower,QuickSight,5,30,0.1667
MediaStore,S3,5,10,0.5
Cognito,Lambda,5,54,0.0926
ControlTower,Organizations,5,30,0.1667
MediaConvert,StepFunctions,5,26,0.1923
CloudFormation,ECR,5,130,0.0385
VPC,CloudFormation,5,40,0.125
SAP,EC2,5,10,0.5
Aurora,S3,5,145,0.0345
DirectConnect,ThirdParty,4,33,0.1212
WAF,ThirdParty,3,58,0.0517
RDS,ThirdParty,3,263,0.0114
SageMaker,ModelRegistry,3,251,0.012
DirectConnect,EC2,3,33,0.0909
ThirdParty,WAF,3,862,0.0035
CodePipeline,ECR,2,41,0.0488
UserConsumerIOT,KinesisDataStream,2,21,0.0952
ThirdParty,SageMaker,2,862,0.0023
Lambda,MongoDBAtlas,2,2075,0.001
Batch,ThirdParty,2,9,0.2222
CodeCommit,Lambda,2,22,0.0909
BeanStalk,RDS,2,31,0.0645
Lex,UserConsumerMobile,2,38,0.0526
ThirdParty,ElastiCache,2,862,0.0023
Lambda,Batch,2,2075,0.001
UserConsumerMobile,Chime,2,307,0.0065
ApiGateway,Aurora,2,537,0.0037
Fargate,MemoryDB,2,184,0.0109
Fargate,AmazonMQ,2,184,0.0109
Batch,FSX,2,9,0.2222
ECS,Firehose,2,363,0.0055
UserCompanyAgent,EKS,2,79,0.0253
WAF,ALB,2,58,0.0345
ThirdParty,CloudWatch,2,862,0.0023
UserConsumerAlexaGoogleHome,Lambda,2,3,0.6667
UserConsumerMobile,AlexaForBusiness,2,307,0.0065
KMS,Aurora,2,41,0.0488
Amplify,ApiGateway,2,13,0.1538
UserConsumerPOS,ThirdParty,2,8,0.25
UserCompanyAgent,LambdaAtEdge,2,79,0.0253
CloudFront,UserCompanyAgent,2,291,0.0069
BeanStalk,Neptune,2,31,0.0645
ECS,RedShift,2,363,0.0055
Aurora,KMS,2,145,0.0138
EKS,SES,2,495,0.004
SES,EKS,2,2,1.0
ECR,CodePipeline,2,66,0.0303
EKS,UserConsumerCamera,2,495,0.004
Neptune,BeanStalk,2,44,0.0455
ModelRegistry,SageMaker,2,3,0.6667
ElementalLive,MediaPackage,2,2,1.0
UserCompanyElementalLiveDevice,ElementalLive,2,2,1.0
S3,ServiceCatalog,2,1551,0.0013
MediaPackage,S3,2,17,0.1176
Chime,UserConsumerMobile,2,17,0.1176
Textract,S3,2,13,0.1538
EMR,MSK,2,208,0.0096
ThirdParty,SecurityHub,2,862,0.0023
AlexaForBusiness,UserConsumerMobile,2,3,0.6667
Rekognition,Textract,1,39,0.0256
Fargate,Rekognition,1,184,0.0054
UserCompanyDeveloper,CodePipeline,1,182,0.0055
CodePipeline,SNS,1,41,0.0244
ALB,WAF,1,204,0.0049
UserConsumerTV,WAF,1,17,0.0588
S3,Textract,1,1551,0.0006
ElastiCache,RDS,1,107,0.0093
AMI,EKS,1,1,1.0
Greengrass,UserConsumerMobile,1,8,0.125
Lex,DynamoDB,1,38,0.0263
NLB,Lambda,1,42,0.0238
UserConsumerMobile,SageMaker,1,307,0.0033
Transcribe,Firehose,1,61,0.0164
EKS,Fargate,1,495,0.002
Cognito,ApiGateway,1,54,0.0185
UserConsumerWebMobile,S3,1,57,0.0175
ThirdParty,AppSync,1,862,0.0012
UserConsumerDeveloper,ApiGateway,1,16,0.0625
CodeBuild,CodePipeline,1,22,0.0455
Lambda,CodePipeline,1,2075,0.0005
UserConsumerWeb,EFS,1,388,0.0026
EFS,UserConsumerWeb,1,23,0.0435
UserConsumerHospital,StorageGateway,1,6,0.1667
ApiGateway,NLB,1,537,0.0019
DynamoDB,Lex,1,496,0.002
Lambda,IAM,1,2075,0.0005
BeanStalk,ApiGateway,1,31,0.0323
UserCompanyAnalyst,ModelRegistry,1,116,0.0086
ModelRegistry,ThirdParty,1,3,0.3333
LambdaAtEdge,ApiGateway,1,55,0.0182
Shield,CloudFront,1,1,1.0
OpenSearch,Fargate,1,74,0.0135
UserCompanyAnalyst,ELB,1,116,0.0086
S3,Batch,1,1551,0.0006
ELB,Fargate,1,226,0.0044
UserConsumerEdge,MSK,1,94,0.0106
UserConsumerIOT,Cognito,1,21,0.0476
Neptune,EMR,1,44,0.0227
UserConsumerCamera,Route53,1,10,0.1
S3,UserConsumerCamera,1,1551,0.0006
Route53,UserConsumerCamera,1,103,0.0097
SecurityHub,CloudWatch,1,26,0.0385
Greengrass,ApiGateway,1,8,0.125
Lex,UserConsumerAlexaGoogleHome,1,38,0.0263
Lex,Comprehend,1,38,0.0263
EMR,UserConsumerWeb,1,208,0.0048
UserCompanyDataStream,Transcribe,1,189,0.0053
ThirdParty,Batch,1,862,0.0012
UserConsumerAPI,KMS,1,141,0.0071
Fargate,DocumentDB,1,184,0.0054
Textract,DynamoDB,1,13,0.0769
Neptune,ApiGateway,1,44,0.0227
UserConsumerMobile,UserConsumerPOS,1,307,0.0033
DirectConnect,UserConsumerAPI,1,33,0.0303
Lambda,Translate,1,2075,0.0005
MSK,EC2,1,68,0.0147
UserConsumerCamera,ALB,1,10,0.1
UserConsumerAPI,Route53,1,141,0.0071
AmazonML,Lambda,1,1,1.0
ThirdParty,Lex,1,862,0.0012
StepFunctions,ECS,1,294,0.0034
EBS,KMS,1,25,0.04
IAM,EBS,1,39,0.0256
KMS,IAM,1,41,0.0244
Kinesis,KinesisAnalytics,1,248,0.004
Lambda,WAF,1,2075,0.0005
ECS,EMR,1,363,0.0028
UserCompanyDataStream,StepFunctions,1,189,0.0053
Firehose,ApiGateway,1,148,0.0068
Fargate,CloudFront,1,184,0.0054
Amplify,Aurora,1,13,0.0769
DMS,ThirdParty,1,67,0.0149
Glue,EKS,1,229,0.0044
Batch,S3,1,9,0.1111
ThirdParty,KinesisAnalytics,1,862,0.0012
ECS,UserConsumerIOT,1,363,0.0028
S3,Cognito,1,1551,0.0006
Lambda,SageMakerGroundTruth,1,2075,0.0005
UserConsumerMobile,UserConsumerCamera,1,307,0.0033
EKS,Athena,1,495,0.002
Lambda,AmazonML,1,2075,0.0005
AlexaForBusiness,Lambda,1,3,0.3333
EBS,IAM,1,25,0.04
ApiGateway,UserCompanyAPI,1,537,0.0019
ELB,DirectConnect,1,226,0.0044
RedShift,ECS,1,148,0.0068
Batch,ECS,1,9,0.1111
Route53,Fargate,1,103,0.0097
ApiGateway,Neptune,1,537,0.0019
StepFunctions,Fargate,1,294,0.0034
UserConsumerTV,ApiGateway,1,17,0.0588
UserConsumerCamera,S3,1,10,0.1
UserConsumerMobile,Aurora,1,307,0.0033
WAF,Firehose,1,58,0.0172
Batch,Lambda,1,9,0.1111
FSX,EC2,1,29,0.0345
Timestream,Lambda,1,6,0.1667
Lex,SNS,1,38,0.0263
SNS,Lex,1,215,0.0047
OpenSearch,Lex,1,74,0.0135
NLB,UserConsumerAPI,1,42,0.0238
EMR,RDS,1,208,0.0048
EBS,SQS,1,25,0.04
KinesisAnalytics,Kinesis,1,27,0.037
ELB,VPCPeering,1,226,0.0044
VPCPeering,VPC,1,16,0.0625
IoTCore,ThirdParty,1,81,0.0123
UserCompanyAnalyst,ThirdParty,1,116,0.0086
Fargate,EKS,1,184,0.0054
CloudFront,ECS,1,291,0.0034
DocumentDB,Fargate,1,7,0.1429
UserCompanyDataStream,Amplify,1,189,0.0053
ApiGateway,Cognito,1,537,0.0019
ApiGateway,Amplify,1,537,0.0019
UserConsumerIOT,IoTCore,1,21,0.0476
UserCompanyAPI,Kinesis,1,39,0.0256
Athena,EMR,1,207,0.0048
EKS,Glue,1,495,0.002
EKS,IAM,1,495,0.002
EMR,EKS,1,208,0.0048
PrivateLink,UserConsumerAPI,1,31,0.0323
SNS,StepFunctions,1,215,0.0047
Rekognition,Fargate,1,39,0.0256
CloudFront,UserCompanyAnalyst,1,291,0.0034
UserConsumerIOT,ThirdParty,1,21,0.0476
CodePipeline,UserCompanyDeveloper,1,41,0.0244
CodePipeline,CodeBuild,1,41,0.0244
Kinesis,UserCompanyDataStream,1,248,0.004
UserConsumerWeb,DynamoDB,1,388,0.0026
Fargate,ELB,1,184,0.0054
VPN,Fargate,1,26,0.0385
ALB,CloudWatch,1,204,0.0049
S3,Comprehend,1,1551,0.0006
AppSync,UserConsumerAPI,1,73,0.0137
DeepLens,Lambda,1,1,1.0
UserCompanyDeveloper,EKS,1,182,0.0055
EKS,AMI,1,495,0.002
UserConsumerCamera,UserConsumerMobile,1,10,0.1
AmazonMQ,ECS,1,7,0.1429
AmazonMQ,Fargate,1,7,0.1429
QuickSight,LambdaAtEdge,1,42,0.0238
Athena,QuickSight,1,207,0.0048
S3,SES,1,1551,0.0006
NLB,ApiGateway,1,42,0.0238
Lambda,AlexaForBusiness,1,2075,0.0005
ELB,BeanStalk,1,226,0.0044
Route53,EC2,1,103,0.0097
Pinpoint,ApiGateway,1,16,0.0625
Lambda,Route53,1,2075,0.0005
IAM,EKS,1,39,0.0256
Fargate,Lambda,1,184,0.0054
UserConsumerIOT,EC2,1,21,0.0476
Batch,EventBridge,1,9,0.1111
UserConsumerMobile,Greengrass,1,307,0.0033
UserConsumerMobile,Lex,1,307,0.0033
ThirdParty,MSK,1,862,0.0012
EBS,S3,1,25,0.04
UserCompanyAPI,ApiGateway,1,39,0.0256
ApiGateway,Firehose,1,537,0.0019
IoTCore,OpenSearch,1,81,0.0123
EFS,ThirdParty,1,23,0.0435
MAM,ApiGateway,1,1,1.0
FSX,SageMaker,1,29,0.0345
DynamoDB,Glue,1,496,0.002
MemoryDB,Fargate,1,1,1.0
UserCompanyDeveloper,VPN,1,182,0.0055
BeanStalk,UserCompanyAPI,1,31,0.0323
RDS,BeanStalk,1,263,0.0038
DynamoDB,Firehose,1,496,0.002
Batch,EC2,1,9,0.1111
Lex,OpenSearch,1,38,0.0263
Lex,ThirdParty,1,38,0.0263
UserConsumerAPI,NLB,1,141,0.0071
Lambda,NLB,1,2075,0.0005
UserConsumerWeb,EMR,1,388,0.0026
EBS,EventBridge,1,25,0.04
ApiGateway,Pinpoint,1,537,0.0019
ServiceCatalog,SageMaker,1,42,0.0238
LambdaAtEdge,ThirdParty,1,55,0.0182
KMS,UserConsumerAPI,1,41,0.0244
ECS,Fargate,1,363,0.0028
UserCompanyDataStream,ApiGateway,1,189,0.0053
ApiGateway,UserCompanyDataStream,1,537,0.0019
Aurora,Fargate,1,145,0.0069
AppSync,ThirdParty,1,73,0.0137
UserConsumerPOS,UserConsumerMobile,1,8,0.125
ThirdParty,UserConsumerPOS,1,862,0.0012
EKS,EMR,1,495,0.002
EKS,UserCompanyAgent,1,495,0.002
EFS,Glue,1,23,0.0435
Glue,EFS,1,229,0.0044
ServiceCatalog,EC2,1,42,0.0238
OnPremDC,UserConsumerTV,1,26,0.0385
KinesisDataStream,Firehose,1,37,0.027
UserCompanyEdge,Firehose,1,12,0.0833
EMR,Neptune,1,208,0.0048
UserCompanyAPI,BeanStalk,1,39,0.0256
UserConsumerSatellite,S3,1,6,0.1667
UserConsumerWebMobile,EKS,1,57,0.0175
Athena,EKS,1,207,0.0048
ThirdParty,FSX,1,862,0.0012
UserConsumerAlexaGoogleHome,Lex,1,3,0.3333
Comprehend,Lex,1,53,0.0189
EventBridge,EBS,1,82,0.0122
SageMaker,UserConsumerMobile,1,251,0.004
CloudFront,ShieldAdvanced,1,291,0.0034
